SampleID,ReadsID,Base,MeanQualityScore,,Mean,Count,StdDev,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,155-159,34.24841806,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,160-164,33.96401113,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,165-169,33.99562379,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,170-174,33.60855302,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,175-179,33.47307074,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,180-184,33.21751677,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,185-189,32.73129443,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,190-194,32.8691927,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,195-199,32.77186846,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,200-204,32.59289613,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,205-209,32.310856,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,210-214,32.66435396,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,215-219,32.00445458,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,220-224,33.04153653,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,225-229,32.17903635,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,230-234,32.92158167,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,235-239,31.69938325,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,240-244,31.36280389,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,245-249,32.63836744,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,250,32.90503641,,33.59816325,62,0.880507314,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,100-104,35.3091875,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,105-109,35.18433846,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,110-114,35.05844134,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,115-119,34.90613468,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,120-124,34.91872121,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,125-129,34.89905769,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,130-134,34.78878917,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,135-139,34.75717021,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,140-144,34.72072973,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,145-149,34.75814343,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,150-154,34.40451296,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,155-159,34.35879061,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,160-164,34.51535477,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,165-169,34.32247814,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,170-174,34.45756168,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,175-179,34.63920587,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,180-184,33.90152447,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,185-189,34.21218068,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,190-194,34.0243507,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,195-199,33.8996531,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,200-204,33.5784391,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,205-209,34.10145679,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,210-214,33.91465206,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,215-219,33.68100114,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,220-224,33.52372986,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,225-229,33.57520413,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,230-234,33.25059851,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,235-239,33.25737922,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,240-244,32.76452969,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,245-249,32.90838792,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R1,250,33.19556184,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,100-104,34.97443841,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,105-109,34.7702204,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,110-114,34.79400088,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,115-119,34.62744289,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,120-124,34.83258779,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,125-129,34.6166046,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,130-134,34.45143526,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,135-139,34.54085192,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,140-144,34.48341895,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,145-149,34.58874025,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,150-154,34.477339,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,155-159,34.23380737,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,160-164,34.22263539,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,165-169,34.22885518,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,170-174,33.79353496,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,175-179,33.97069609,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,180-184,33.42871619,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,185-189,33.31795534,,,,,,,,,,,,,,,,,,,,,,
1n4,SLF_1n4_R2,190-194,33.35209015,,,,,,,,,,,,,,,,,,,,,,
